AccountNumber,TotalActivityCount_SUM,
ACCT0003049,138,
ACCT0003058,15,
ACCT0003069,69,
ACCT0003093,167,
ACCT0003100,768,
ACCT0003102,120,
ACCT0003110,205,
ACCT0003122,125,
ACCT0003128,273,
ACCT0003162,185,
ACCT0003193,92,
ACCT0003198,25,
ACCT0003222,179,
ACCT0003234,144,
ACCT0003236,8,
ACCT0003258,27,
ACCT0003291,62,
ACCT0003315,12,
ACCT0003320,17,
ACCT0003339,129,
ACCT0003342,3,
ACCT0003350,21,
ACCT0003353,621,
ACCT0003355,430,
ACCT0003377,147,
ACCT0003438,105,
ACCT0003439,29,
ACCT0003475,10,
ACCT0003498,57,
ACCT0003499,17,
ACCT0003500,28,
ACCT0003505,1,
ACCT0003509,119,
ACCT0003511,253,
ACCT0003519,106,
ACCT0003522,66,
ACCT0003523,32,
ACCT0003533,227,
ACCT0003536,374,
ACCT0003549,406,
ACCT0003554,65,
ACCT0003555,139,
ACCT0003563,688,
ACCT0003566,196,
ACCT0003567,105,
ACCT0003573,360,
ACCT0003580,257,
ACCT0003583,339,
ACCT0003587,236,
ACCT0003590,552,
ACCT0003594,248,
ACCT0003602,75,
ACCT0003606,206,
ACCT0003607,7,
ACCT0003609,59,
ACCT0003615,3,
ACCT0003617,191,
ACCT0003621,14,
ACCT0003627,2,
ACCT0003629,"2,019",
ACCT0003637,"1,177",
ACCT0003641,251,
ACCT0003648,14,
ACCT0003649,248,
ACCT0003653,6,
ACCT0003666,"1,287",
ACCT0003679,301,
ACCT0003682,260,
ACCT0003702,97,
ACCT0003717,44,
ACCT0003718,1,
ACCT0003735,176,
ACCT0003752,5,
ACCT0003753,81,
ACCT0003775,221,
ACCT0003776,149,
ACCT0003779,240,
ACCT0003781,179,
ACCT0003791,23,
ACCT0003798,507,
ACCT0003852,275,
ACCT0003875,257,
ACCT0003892,159,
ACCT0003926,81,
ACCT0003934,34,
ACCT0003943,56,
ACCT0003956,50,
ACCT0003977,354,
ACCT0003996,334,
ACCT0004014,243,
ACCT0004016,3,
ACCT0004018,45,
ACCT0004023,212,
ACCT0004027,109,
ACCT0004029,"4,037",
